conn_met,value,tf_id
NC,8,85
LNK,149,85
SLC,614133.1948010036,85
MSC,83181.3522162,85
IIC,0.05824934099760303,85
NC,1,86
LNK,315,86
SLC,1868175.0124556264,86
MSC,1868175.0124556264,86
IIC,0.3417008544413852,86
NC,1,87
LNK,295,87
SLC,1983883.9987906886,87
MSC,1983883.9987906886,87
IIC,0.3738678161214692,87
NC,2,88
LNK,188,88
SLC,2053048.1693011317,88
MSC,1026952.73362436,88
IIC,0.4041312622869154,88
NC,1,89
LNK,91,89
SLC,2219023.076422482,89
MSC,2219023.076422482,89
IIC,0.5029433464428171,89
NC,5,91
LNK,196,91
SLC,585036.5090488243,91
MSC,138654.30511654651,91
IIC,0.034877142129539226,91
NC,1,92
LNK,363,92
SLC,1995400.2272454628,92
MSC,1995400.2272454628,92
IIC,0.3532298105655138,92
NC,4,93
LNK,448,93
SLC,1194158.3407979447,93
MSC,299732.8701596964,93
IIC,0.11404364920971799,93
NC,1,94
LNK,86,94
SLC,2045342.3873264256,94
MSC,2045342.3873264256,94
IIC,0.4161716290933954,94
NC,2,95
LNK,697,95
SLC,1453495.7138658166,95
MSC,727046.8870984864,95
IIC,0.18317657247557229,95
NC,8,96
LNK,37,96
SLC,498911.9588997123,96
MSC,68820.26269490454,96
IIC,0.04313286388796332,96
NC,7,97
LNK,128,97
SLC,903053.1586683836,97
MSC,156140.7134389838,97
IIC,0.09102680737559539,97
NC,3,98
LNK,620,98
SLC,1388324.6872452481,98
MSC,465927.7153542585,98
IIC,0.16168664252947068,98
NC,6,99
LNK,239,99
SLC,609199.2111443557,99
MSC,109105.32350874587,99
IIC,0.036552538149439144,99
NC,3,100
LNK,566,100
SLC,1121183.19511817,100
MSC,373860.6356959658,100
IIC,0.05916286215407947,100
NC,1,132
LNK,62,132
SLC,1340145.2477685707,132
MSC,1340145.2477685707,132
IIC,0.24786268779366571,132
NC,1,133
LNK,409,133
SLC,1441876.0659240417,133
MSC,1441876.0659240417,133
IIC,0.17725335629827152,133
NC,1,134
LNK,535,134
SLC,1313937.6492295482,134
MSC,1313937.6492295482,134
IIC,0.0930961612501941,134
NC,1,135
LNK,40,135
SLC,2389765.7680272036,135
MSC,2389765.7680272036,135
IIC,0.5829935040454746,135
NC,1,136
LNK,352,136
SLC,1353042.6823579106,136
MSC,1353042.6823579106,136
IIC,0.13978752286476237,136
NC,2,137
LNK,508,137
SLC,1676537.1098085754,137
MSC,843521.5271361944,137
IIC,0.21893542686909892,137
NC,3,138
LNK,284,138
SLC,1207510.9979205693,138
MSC,402603.3310949539,138
IIC,0.21268834333821285,138
NC,1,139
LNK,27,139
SLC,2040226.0351988552,139
MSC,2040226.0351988552,139
IIC,0.529430589217706,139
NC,10,140
LNK,865,140
SLC,249905.14252492785,140
MSC,27013.377274511433,140
IIC,0.0014596070687730375,140
NC,1,141
LNK,45,141
SLC,2449781.7637737785,141
MSC,2449781.7637737785,141
IIC,0.6124618032720512,141
NC,1,142
LNK,92,142
SLC,2226421.161727724,142
MSC,2226421.161727724,142
IIC,0.5185516458538432,142
NC,2,143
LNK,167,143
SLC,1498995.2515611942,143
MSC,749647.127149386,143
IIC,0.18722783933496479,143
NC,6,144
LNK,547,144
SLC,624711.2094752524,144
MSC,107648.63413965832,144
IIC,0.0229057865050851,144
NC,2,145
LNK,163,145
SLC,1288305.4291088898,145
MSC,644252.3808738498,145
IIC,0.17684130399442155,145
NC,1,146
LNK,357,146
SLC,1489680.5978462559,146
MSC,1489680.5978462559,146
IIC,0.22228430096385027,146
NC,1,147
LNK,210,147
SLC,2605950.1418391215,147
MSC,2605950.1418391215,147
IIC,0.6884268410821968,147
NC,3,148
LNK,41,148
SLC,1308730.1220752131,148
MSC,441160.1566137471,148
