tiny_forest_id,tiny_forest_name,survey_id,event_date,butterfly_species,qty,edate
92,"Perry Common, Birmingham",3095,07/06/2022,,NA,2022-06-07
92,"Perry Common, Birmingham",3080,07/06/2022,,NA,2022-06-07
168,"Durham Hill, Lewisham",3446,09/06/2022,,NA,2022-06-09
168,"Durham Hill, Lewisham",3445,09/06/2022,,NA,2022-06-09
168,"Durham Hill, Lewisham",3443,09/06/2022,,NA,2022-06-09
93,Hammersmith Park,4026,22/06/2022,Small white,2,2022-06-22
93,Hammersmith Park,4026,22/06/2022,Skipper species,2,2022-06-22
93,Hammersmith Park,4026,22/06/2022,Comma,1,2022-06-22
98,"Moor Lane, Speen (Southern - Rotavated)",3979,22/06/2022,Small white,1,2022-06-22
98,"Moor Lane, Speen (Southern - Rotavated)",3979,22/06/2022,Marbled white,3,2022-06-22
98,"Moor Lane, Speen (Southern - Rotavated)",3979,22/06/2022,Other,3,2022-06-22
164,"Moor Lane, Speen (Northern - Excavated)",3978,22/06/2022,Small white,1,2022-06-22
164,"Moor Lane, Speen (Northern - Excavated)",3978,22/06/2022,Marbled white,3,2022-06-22
164,"Moor Lane, Speen (Northern - Excavated)",3978,22/06/2022,Small heath,1,2022-06-22
164,"Moor Lane, Speen (Northern - Excavated)",3978,22/06/2022,Meadow brown,1,2022-06-22
164,"Moor Lane, Speen (Northern - Excavated)",3978,22/06/2022,Other,1,2022-06-22
87,"Meadow Lane, Oxford",4112,23/06/2022,Marbled white,1,2022-06-23
87,"Meadow Lane, Oxford",4112,23/06/2022,Meadow brown,3,2022-06-23
206,"Silver Fern, Corpus Christi",5158,30/06/2022,Large white,1,2022-06-30
206,"Silver Fern, Corpus Christi",5158,30/06/2022,Small white,1,2022-06-30
206,"Silver Fern, Corpus Christi",5158,30/06/2022,Skipper species,2,2022-06-30
206,"Silver Fern, Corpus Christi",5158,30/06/2022,Gatekeeper,3,2022-06-30
206,"Silver Fern, Corpus Christi",5158,30/06/2022,Painted lady,1,2022-06-30
206,"Silver Fern, Corpus Christi",5158,30/06/2022,Comma,1,2022-06-30
206,"Silver Fern, Corpus Christi",5158,30/06/2022,Meadow brown,1,2022-06-30
206,"Silver Fern, Corpus Christi",5158,30/06/2022,Ringlet,3,2022-06-30
204,"Normand Park, Hammersmith & Fulham",4549,02/07/2022,Common blue,1,2022-07-02
146,"Bulwell Forest, Nottingham",4640,05/07/2022,Skipper species,1,2022-07-05
146,"Bulwell Forest, Nottingham",4640,05/07/2022,Other,2,2022-07-05
146,"Bulwell Forest, Nottingham",4625,05/07/2022,Large white,1,2022-07-05
146,"Bulwell Forest, Nottingham",4625,05/07/2022,Small white,1,2022-07-05
146,"Bulwell Forest, Nottingham",4625,05/07/2022,Red admiral,1,2022-07-05
146,"Bulwell Forest, Nottingham",4625,05/07/2022,Peacock,1,2022-07-05
155,"Parkhead, West Calder",4843,12/07/2022,,NA,2022-07-12
276,"Addiewell, West Lothian",4842,12/07/2022,,NA,2022-07-12
276,"Addiewell, West Lothian",4841,12/07/2022,,NA,2022-07-12
276,"Addiewell, West Lothian",4840,12/07/2022,,NA,2022-07-12
155,"Parkhead, West Calder",4830,12/07/2022,,NA,2022-07-12
155,"Parkhead, West Calder",4829,12/07/2022,,NA,2022-07-12
155,"Parkhead, West Calder",4828,12/07/2022,,NA,2022-07-12
155,"Parkhead, West Calder",4827,12/07/2022,,NA,2022-07-12
165,"William Torbitt, Redbridge",4887,13/07/2022,Large white,1,2022-07-13
165,"William Torbitt, Redbridge",4887,13/07/2022,Gatekeeper,5,2022-07-13
165,"William Torbitt, Redbridge",4886,13/07/2022,,NA,2022-07-13
269,"Robertson Street, Dundee",5005,17/07/2022,Large white,1,2022-07-17
269,"Robertson Street, Dundee",5005,17/07/2022,Small white,1,2022-07-17
269,"Robertson Street, Dundee",5005,17/07/2022,Small heath,1,2022-07-17
149,"Littlemore, Oxford",5091,18/07/2022,Large white,1,2022-07-18
149,"Littlemore, Oxford",5091,18/07/2022,Small white,1,2022-07-18
149,"Littlemore, Oxford",5091,18/07/2022,Small heath,2,2022-07-18
278,Whitburn,5403,21/07/2022,Ringlet,6,2022-07-21
278,Whitburn,5401,21/07/2022,Small tortoiseshell,2,2022-07-21
278,Whitburn,5401,21/07/2022,Ringlet,1,2022-07-21
278,Whitburn,5400,21/07/2022,Small tortoiseshell,2,2022-07-21
278,Whitburn,5400,21/07/2022,Ringlet,1,2022-07-21
278,Whitburn,5399,21/07/2022,,NA,2022-07-21
153,West Pilton Park,5381,21/07/2022,,NA,2022-07-21
153,West Pilton Park,5380,21/07/2022,,NA,2022-07-21
153,West Pilton Park,5379,21/07/2022,,NA,2022-07-21
153,West Pilton Park,5378,21/07/2022,,NA,2022-07-21
156,"Queen's Park Recreation Ground, Glasgow",6262,09/08/2022,Painted lady,1,2022-08-09
200,A Severn Trent TEMPLATE,5625,16/08/2022,Brimstone,1,2022-08-16
195,"Gibralter's Barbary Partridge, Coleman Street",5755,20/08/2022,Large white,1,2022-08-20
195,"Gibralter's Barbary Partridge, Coleman Street",5755,20/08/2022,Holly blue,1,2022-08-20
227,"Collared Lory, Jellicoe Way Open Space",5915,23/08/2022,Large white,2,2022-08-23
227,"Collared Lory, Jellicoe Way Open Space",5915,23/08/2022,Small white,1,2022-08-23
227,"Collared Lory, Jellicoe Way Open Space",5915,23/08/2022,Gatekeeper,1,2022-08-23
227,"Collared Lory, Jellicoe Way Open Space",5914,23/08/2022,Brimstone,1,2022-08-23
227,"Collared Lory, Jellicoe Way Open Space",5914,23/08/2022,Large white,2,2022-08-23
227,"Collared Lory, Jellicoe Way Open Space",5914,23/08/2022,Other,1,2022-08-23
227,"Collared Lory, Jellicoe Way Open Space",5909,23/08/2022,Large white,1,2022-08-23
227,"Collared Lory, Jellicoe Way Open Space",5909,23/08/2022,Speckled wood,1,2022-08-23
265,"Blue Water Lily, Christ Church Open Space",6180,24/08/2022,Large white,1,2022-08-24
89,"Avenue End, Glasgow",6764,14/09/2022,,NA,2022-09-14
300,"Pencoedtre Park, Barry ",7307,23/09/2022,Other,2,2022-09-23
300,"Pencoedtre Park, Barry ",7305,23/09/2022,,NA,2022-09-23
300,"Pencoedtre Park, Barry ",7301,23/09/2022,,NA,2022-09-23
280,"Colinton Mains Park, Edinburgh",8220,13/10/2022,,NA,2022-10-13
280,"Colinton Mains Park, Edinburgh",8219,13/10/2022,,NA,2022-10-13
280,"Colinton Mains Park, Edinburgh",8218,13/10/2022,,NA,2022-10-13
280,"Colinton Mains Park, Edinburgh",8215,13/10/2022,Red admiral,1,2022-10-13
154,"Peacocktail Close, Edinburgh",15952,26/09/2023,NA,NA,2023-09-26
154,"Peacocktail Close, Edinburgh",15951,26/09/2023,NA,NA,2023-09-26
154,"Peacocktail Close, Edinburgh",15950,26/09/2023,NA,NA,2023-09-26
154,"Peacocktail Close, Edinburgh",15949,26/09/2023,NA,NA,2023-09-26
154,"Peacocktail Close, Edinburgh",15948,26/09/2023,NA,NA,2023-09-26
154,"Peacocktail Close, Edinburgh",15946,26/09/2023,NA,NA,2023-09-26
283,"Bonnyrigg Primary School, Midlothian",15943,26/09/2023,NA,NA,2023-09-26
283,"Bonnyrigg Primary School, Midlothian",15942,26/09/2023,NA,NA,2023-09-26
283,"Bonnyrigg Primary School, Midlothian",15941,26/09/2023,NA,NA,2023-09-26
283,"Bonnyrigg Primary School, Midlothian",15939,26/09/2023,NA,NA,2023-09-26
313,"White Hart Lane, Haringey",14995,21/09/2023,Green-veined white,1,2023-09-21
299,"Cardiff Bay Coed Bach, Cardiff",14550,18/09/2023,NA,NA,2023-09-18
