layer,level,class,id,metric,value,name,type,function_name,tf_id
1,class,1,NA,ai,78.17990161630358,aggregation index,aggregation metric,lsm_c_ai,85
1,class,2,NA,ai,58.06451612903226,aggregation index,aggregation metric,lsm_c_ai,85
1,class,4,NA,ai,92.52413508777957,aggregation index,aggregation metric,lsm_c_ai,85
1,class,8,NA,ai,48.07692307692308,aggregation index,aggregation metric,lsm_c_ai,85
1,class,14,NA,ai,91.20319078218479,aggregation index,aggregation metric,lsm_c_ai,85
1,class,21,NA,ai,94.31389884137545,aggregation index,aggregation metric,lsm_c_ai,85
1,class,1,NA,pland,9.421090247547262,percentage of landscape,area and edge metric,lsm_c_pland,85
1,class,2,NA,pland,0.06497303618998111,percentage of landscape,area and edge metric,lsm_c_pland,85
1,class,4,NA,pland,47.673965304398685,percentage of landscape,area and edge metric,lsm_c_pland,85
1,class,8,NA,pland,0.10395685790396977,percentage of landscape,area and edge metric,lsm_c_pland,85
1,class,14,NA,pland,7.488142420895322,percentage of landscape,area and edge metric,lsm_c_pland,85
1,class,21,NA,pland,35.24787213306479,percentage of landscape,area and edge metric,lsm_c_pland,85
1,landscape,NA,NA,frac_cv,6.679039007558313,fractal dimension index,shape metric,lsm_l_frac_cv,85
1,landscape,NA,NA,msidi,1.0051045400913527,modified simpson's diversity index,diversity metric,lsm_l_msidi,85
1,landscape,NA,NA,pr,6,patch richness,diversity metric,lsm_l_pr,85
1,landscape,NA,NA,shape_cv,43.64609902069655,shape index,shape metric,lsm_l_shape_cv,85
1,landscape,NA,NA,shdi,1.1492512205724403,shannon's diversity index,diversity metric,lsm_l_shdi,85
1,class,1,NA,ai,80.94768015794669,aggregation index,aggregation metric,lsm_c_ai,86
1,class,2,NA,ai,73.33333333333333,aggregation index,aggregation metric,lsm_c_ai,86
1,class,4,NA,ai,90.60312966894708,aggregation index,aggregation metric,lsm_c_ai,86
1,class,14,NA,ai,73.39712918660287,aggregation index,aggregation metric,lsm_c_ai,86
1,class,21,NA,ai,96.02509637322004,aggregation index,aggregation metric,lsm_c_ai,86
1,class,1,NA,pland,4.564619078292439,percentage of landscape,area and edge metric,lsm_c_pland,86
1,class,2,NA,pland,0.08198161269543829,percentage of landscape,area and edge metric,lsm_c_pland,86
1,class,4,NA,pland,18.852843005211685,percentage of landscape,area and edge metric,lsm_c_pland,86
1,class,14,NA,pland,1.5986414475610464,percentage of landscape,area and edge metric,lsm_c_pland,86
1,class,21,NA,pland,74.90191485623939,percentage of landscape,area and edge metric,lsm_c_pland,86
1,landscape,NA,NA,frac_cv,6.183268766120414,fractal dimension index,shape metric,lsm_l_frac_cv,86
1,landscape,NA,NA,msidi,0.5126398248835874,modified simpson's diversity index,diversity metric,lsm_l_msidi,86
1,landscape,NA,NA,pr,5,patch richness,diversity metric,lsm_l_pr,86
1,landscape,NA,NA,shape_cv,40.750927429790174,shape index,shape metric,lsm_l_shape_cv,86
1,landscape,NA,NA,shdi,0.7438687916926824,shannon's diversity index,diversity metric,lsm_l_shdi,86
1,class,1,NA,ai,82.36369174535486,aggregation index,aggregation metric,lsm_c_ai,87
1,class,2,NA,ai,62.7906976744186,aggregation index,aggregation metric,lsm_c_ai,87
1,class,4,NA,ai,85.8167770419426,aggregation index,aggregation metric,lsm_c_ai,87
1,class,8,NA,ai,100,aggregation index,aggregation metric,lsm_c_ai,87
1,class,14,NA,ai,87.98917944093778,aggregation index,aggregation metric,lsm_c_ai,87
1,class,21,NA,ai,94.38549222797927,aggregation index,aggregation metric,lsm_c_ai,87
1,class,1,NA,pland,5.654861904441908,percentage of landscape,area and edge metric,lsm_c_pland,87
1,class,2,NA,pland,0.09071970969692897,percentage of landscape,area and edge metric,lsm_c_pland,87
1,class,4,NA,pland,3.1483099254082396,percentage of landscape,area and edge metric,lsm_c_pland,87
1,class,8,NA,pland,0.02687991398427525,percentage of landscape,area and edge metric,lsm_c_pland,87
