layer,level,class,id,metric,value,tf_id,dist
1,landscape,NA,NA,frac_mn,1.1159662185083654,85,100
1,landscape,NA,NA,msidi,1.3062842924231062,85,100
1,landscape,NA,NA,para_mn,0.43300324695483894,85,100
1,landscape,NA,NA,shdi,1.4263474038787411,85,100
1,landscape,NA,NA,frac_mn,1.0939352505810205,86,100
1,landscape,NA,NA,msidi,1.007090584013039,86,100
1,landscape,NA,NA,para_mn,0.4254660123683053,86,100
1,landscape,NA,NA,shdi,1.1905373371984005,86,100
1,landscape,NA,NA,frac_mn,1.0545936650722474,87,100
1,landscape,NA,NA,msidi,0.716697127034945,87,100
1,landscape,NA,NA,para_mn,0.3203535994738391,87,100
1,landscape,NA,NA,shdi,0.7603856622337988,87,100
1,landscape,NA,NA,frac_mn,1.1470906946366948,88,100
1,landscape,NA,NA,msidi,0.27331723919188333,88,100
1,landscape,NA,NA,para_mn,0.5659872340832481,88,100
1,landscape,NA,NA,shdi,0.40287957744130054,88,100
1,landscape,NA,NA,frac_mn,1.0560046766045812,89,100
1,landscape,NA,NA,msidi,0.7197071237090881,89,100
1,landscape,NA,NA,para_mn,0.2333952893098353,89,100
1,landscape,NA,NA,shdi,0.7617847913194103,89,100
1,landscape,NA,NA,frac_mn,1.0959352898776846,91,100
1,landscape,NA,NA,msidi,0.44765764849944994,91,100
1,landscape,NA,NA,para_mn,0.25710597617673225,91,100
1,landscape,NA,NA,shdi,0.6894824083813287,91,100
1,landscape,NA,NA,frac_mn,1.117018161380684,92,100
1,landscape,NA,NA,msidi,0.8352078458791505,92,100
1,landscape,NA,NA,para_mn,0.9443843765788039,92,100
1,landscape,NA,NA,shdi,1.037875070194222,92,100
1,landscape,NA,NA,frac_mn,1.0888232639223043,93,100
1,landscape,NA,NA,msidi,0.2068346257962432,93,100
1,landscape,NA,NA,para_mn,0.2832683674509943,93,100
1,landscape,NA,NA,shdi,0.378641334157066,93,100
1,landscape,NA,NA,frac_mn,1.140459181183255,94,100
1,landscape,NA,NA,msidi,1.0168754829577193,94,100
1,landscape,NA,NA,para_mn,0.560078267928495,94,100
