dscrptn,dw,N,tf_id
,6,1,85
,1,1,85
,2,1,85
Residential Garden,6,1,85
Bare Earth Or Grass,6,1,85
Made Surface,6,1,85
Non-Coniferous Trees,6,1,85
Arable Or Grazing Land,6,1,85
Arable Or Grazing Land,1,1,85
,4,1,85
Arable Or Grazing Land,2,1,85
Arable Or Grazing Land,4,1,85
Bare Earth Or Grass,2,1,85
Sloping Masonry,6,1,85
Residential Garden,1,1,85
Made Surface,1,1,85
Bare Earth Or Grass,1,1,85
Residential Garden,4,1,85
Residential Garden,2,1,85
Bare Earth Or Grass,4,1,85
Non-Coniferous Trees And Scrub,6,1,85
Non-Coniferous Trees And Scrub,1,1,85
Non-Coniferous Trees And Scrub,4,1,85
Made Surface,4,1,85
Non-Coniferous Trees,1,1,85
Made Surface,2,1,85
Scrub,6,1,85
Mixed Trees,4,1,85
Mixed Trees,1,1,85
Mixed Trees And Scrub,4,1,85
Non-Coniferous Trees,2,1,85
Heath Or Rough Grassland,6,1,85
Heath Or Rough Grassland,1,1,85
Non-Coniferous Trees,4,1,85
Heath Or Rough Grassland,4,1,85
Mixed Trees And Scrub,1,1,85
Scrub,1,1,85
Scrub,2,1,85
Non-Coniferous Trees And Scrub,2,1,85
Mixed Trees,6,1,85
Heath Or Rough Grassland And Scrub,6,1,85
Coniferous Trees,4,1,85
Heath Or Rough Grassland And Scrub,4,1,85
Coniferous Trees,1,1,85
Coniferous Trees,2,1,85
Mixed Trees And Scrub,6,1,85
Mixed Trees,2,1,85
Quarry,2,1,85
Quarry,1,1,85
Quarry,4,1,85
Quarry,7,1,85
Bare Earth Or Grass,7,1,85
Arable Or Grazing Land,7,1,85
Arable Or Grazing Land,3,1,85
Non-Coniferous Trees,3,1,85
Quarry,3,1,85
Bare Earth Or Grass,3,1,85
Quarry,6,1,85
,7,1,85
,4,1,86
,1,1,86
,6,1,86
,2,1,86
,2,1,87
,5,1,87
,1,1,87
,6,1,87
Bare Earth Or Grass,6,1,87
Residential Garden,6,1,87
Made Surface,6,1,87
Bare Earth Or Grass,1,1,87
Non-Coniferous Trees And Scrub,1,1,87
Scattered Non-Coniferous Trees,1,1,87
Made Surface,1,1,87
Non-Coniferous Trees And Scrub,6,1,87
Bare Earth Or Grass,2,1,87
Non-Coniferous Trees,1,1,87
Non-Coniferous Trees,2,1,87
Bare Earth Or Grass,4,1,87
Non-Coniferous Trees,6,1,87
Non-Coniferous Trees And Scrub,2,1,87
Bare Earth Or Grass,5,1,87
Mixed Trees,6,1,87
Orchard,6,1,87
Arable Or Grazing Land,2,1,87
Mixed Trees,1,1,87
Orchard,1,1,87
Residential Garden,2,1,87
Residential Garden,1,1,87
Made Surface,2,1,87
Made Surface,4,1,87
Steps,6,1,87
Heath Or Rough Grassland And Scattered Non-Coniferous Trees,1,1,87
Arable Or Grazing Land,1,1,87
Scattered Non-Coniferous Trees,6,1,87
Arable Or Grazing Land,6,1,87
Arable Or Grazing Land,4,1,87
Scattered Mixed Trees,1,1,87
Scattered Mixed Trees,6,1,87
Scattered Non-Coniferous Trees,4,1,87
,4,1,87
Scrub,6,1,87
Slipway,6,1,87
Scattered Mixed Trees And Scrub,1,1,87
Non-Coniferous Trees And Scrub,4,1,87
Residential Garden,4,1,87
Slipway,1,1,87
Heath Or Rough Grassland,1,1,87
Heath Or Rough Grassland,6,1,87
Heath Or Rough Grassland,4,1,87
Heath Or Rough Grassland,2,1,87
Heath Or Rough Grassland,5,1,87
Heath Or Rough Grassland And Scrub,2,1,87
Heath Or Rough Grassland And Scrub,1,1,87
Heath Or Rough Grassland And Scrub,6,1,87
Non-Coniferous Trees And Scrub,5,1,87
Scrub,1,1,87
Scattered Non-Coniferous Trees And Scrub,1,1,87
Construction Site,6,1,87
Scattered Coniferous Trees,1,1,87
,6,1,88
,4,1,88
,2,1,88
Non-Coniferous Trees And Scrub,4,1,88
Non-Coniferous Trees And Scrub,6,1,88
Bare Earth Or Grass,6,1,88
Residential Garden,6,1,88
,1,1,88
Bare Earth Or Grass,4,1,88
Construction Site,6,1,88
Made Surface,6,1,88
Non-Coniferous Trees And Scrub,1,1,88
Bare Earth Or Grass,2,1,88
Games Court,6,1,88
Steps,6,1,88
Heath Or Rough Grassland And Scrub,6,1,88
Bare Earth Or Grass,1,1,88
Heath Or Rough Grassland And Scrub,1,1,88
Heath Or Rough Grassland And Scrub,2,1,88
Scattered Non-Coniferous Trees And Scrub,6,1,88
Heath Or Rough Grassland And Scrub,4,1,88
Mixed Trees,1,1,88
Mixed Trees,6,1,88
Scattered Non-Coniferous Trees,1,1,88
Scattered Non-Coniferous Trees,6,1,88
Non-Coniferous Trees,1,1,88
Non-Coniferous Trees,6,1,88
Made Surface,1,1,88
Scattered Non-Coniferous Trees,2,1,88
Non-Coniferous Trees,2,1,88
Residential Garden,2,1,88
Made Surface,2,1,88
Scattered Mixed Trees,6,1,88
Sloping Masonry,6,1,88
Residential Garden,1,1,88
Mixed Trees And Scrub,1,1,88
Tennis Court,6,1,88
Tennis Court,2,1,88
Tennis Court,4,1,88
Mixed Trees And Scrub,6,1,88
Scrub,6,1,88
Helipad,6,1,88
,1,1,89
,4,1,89
,2,1,89
,6,1,89
Made Surface,6,1,89
Made Surface,2,1,89
Made Surface,4,1,89
Bare Earth Or Grass,4,1,89
Bare Earth Or Grass,2,1,89
Bare Earth Or Grass,6,1,89
Residential Garden,6,1,89
Heath Or Rough Grassland And Scattered Non-Coniferous Trees And Scrub,2,1,89
Heath Or Rough Grassland And Scattered Non-Coniferous Trees And Scrub,4,1,89
Made Surface,1,1,89
Heath Or Rough Grassland And Scattered Non-Coniferous Trees And Scrub,1,1,89
Bare Earth Or Grass,1,1,89
Non-Coniferous Trees And Scrub,1,1,89
Construction Site,6,1,89
,5,1,89
Coniferous Trees,1,1,89
Coniferous Trees,4,1,89
Heath Or Rough Grassland,1,1,89
Heath Or Rough Grassland,4,1,89
Non-Coniferous Trees And Scrub,2,1,89
Coniferous Trees,6,1,89
Heath Or Rough Grassland,6,1,89
Sloping Masonry,6,1,89
Heath Or Rough Grassland,2,1,89
Coniferous Trees,2,1,89
Non-Coniferous Trees,2,1,89
Non-Coniferous Trees,6,1,89
Residential Garden,1,1,89
Non-Coniferous Trees,4,1,89
Non-Coniferous Trees,1,1,89
Scrub,6,1,89
Residential Garden,2,1,89
Scrub,1,1,89
Sloping Masonry,1,1,89
Heath Or Rough Grassland And Scrub,1,1,89
Marsh,1,1,89
Marsh,2,1,89
Heath Or Rough Grassland And Scrub,2,1,89
Bare Earth Or Grass,5,1,89
Marsh,5,1,89
Heath Or Rough Grassland And Scrub,5,1,89
Non-Coniferous Trees And Scrub,5,1,89
Made Surface,5,1,89
Residential Garden,5,1,89
Non-Coniferous Trees,5,1,89
Steps,6,1,89
Steps,5,1,89
Non-Coniferous Trees And Scrub,6,1,89
Steps,1,1,89
Heath Or Rough Grassland And Scrub,4,1,89
Heath Or Rough Grassland And Scrub,6,1,89
Scrub,2,1,89
Scattered Non-Coniferous Trees And Scrub,1,1,89
Scattered Non-Coniferous Trees And Scrub,2,1,89
Scattered Non-Coniferous Trees,1,1,89
Steps,2,1,89
Scattered Non-Coniferous Trees,2,1,89
Games Court,6,1,89
Mixed Trees,6,1,89
Mixed Trees,1,1,89
Residential Garden,4,1,89
Scattered Non-Coniferous Trees,6,1,89
Non-Coniferous Trees And Scrub,4,1,89
Heath Or Rough Grassland,5,1,89
Games Court,4,1,89
,6,1,91
,1,1,91
,2,1,91
Bare Earth Or Grass,4,1,91
,4,1,91
Bare Earth Or Grass,2,1,91
Bare Earth Or Grass,1,1,91
Bare Earth Or Grass,6,1,91
Residential Garden,6,1,91
Made Surface,6,1,91
Residential Garden,1,1,91
Non-Coniferous Trees,1,1,91
Residential Garden,4,1,91
Non-Coniferous Trees,2,1,91
Non-Coniferous Trees,6,1,91
Scattered Non-Coniferous Trees,6,1,91
Scattered Non-Coniferous Trees,2,1,91
Non-Coniferous Trees And Scrub,6,1,91
Non-Coniferous Trees And Scrub,1,1,91
Scattered Non-Coniferous Trees,1,1,91
Scattered Mixed Trees,1,1,91
Steps,6,1,91
Sloping Masonry,6,1,91
Scattered Coniferous Trees,2,1,91
Scattered Coniferous Trees,1,1,91
Scattered Coniferous Trees,6,1,91
Made Surface,1,1,91
Scrub,1,1,91
Non-Coniferous Trees,4,1,91
Mixed Trees And Scrub,1,1,91
Tennis Court,1,1,91
Steps,1,1,91
Tennis Court,6,1,91
Coniferous Trees And Scrub,1,1,91
Mixed Trees And Scrub,6,1,91
Mixed Trees,1,1,91
Coniferous Trees,1,1,91
Coniferous Trees,6,1,91
Made Surface,2,1,91
Mixed Trees,6,1,91
Non-Coniferous Trees And Scrub,2,1,91
Construction Site,6,1,91
Scrub,4,1,91
Scrub,2,1,91
Games Court,6,1,91
Games Court,2,1,91
Scattered Non-Coniferous Trees And Scrub,6,1,91
,6,1,92
,4,1,92
,2,1,92
,1,1,92
Residential Garden,6,1,92
Made Surface,6,1,92
Bare Earth Or Grass,6,1,92
Non-Coniferous Trees And Scrub,6,1,92
Non-Coniferous Trees,6,1,92
Bare Earth Or Grass,2,1,92
Sloping Masonry,2,1,92
Sloping Masonry,6,1,92
Non-Coniferous Trees And Scrub,1,1,92
Bare Earth Or Grass,4,1,92
Bare Earth Or Grass,1,1,92
Non-Coniferous Trees,1,1,92
Coniferous Trees,6,1,92
Scrub,6,1,92
Mixed Trees,6,1,92
Non-Coniferous Trees And Scrub,4,1,92
Mixed Trees,1,1,92
Scrub,1,1,92
Made Surface,1,1,92
Non-Coniferous Trees,2,1,92
Construction Site,6,1,92
Scattered Non-Coniferous Trees,6,1,92
Steps,6,1,92
Made Surface,2,1,92
Made Surface,4,1,92
Non-Coniferous Trees,4,1,92
Games Court,6,1,92
Scattered Non-Coniferous Trees,2,1,92
Scrub,4,1,92
Scrub,2,1,92
Heath Or Rough Grassland,6,1,92
Heath Or Rough Grassland,1,1,92
Heath Or Rough Grassland,4,1,92
Heath Or Rough Grassland,2,1,92
Non-Coniferous Trees And Scrub,2,1,92
Residential Garden,2,1,92
Residential Garden,1,1,92
,2,1,93
,6,1,93
,4,1,93
,1,1,93
Made Surface,6,1,93
Bare Earth Or Grass,6,1,93
Residential Garden,6,1,93
Non-Coniferous Trees,6,1,93
Bare Earth Or Grass,4,1,93
Made Surface,4,1,93
,7,1,93
Made Surface,1,1,93
Bare Earth Or Grass,1,1,93
Bare Earth Or Grass,2,1,93
Games Court,6,1,93
Made Surface,2,1,93
Games Court,2,1,93
Residential Garden,1,1,93
Steps,6,1,93
,8,1,93
Residential Garden,7,1,93
Made Surface,7,1,93
Bare Earth Or Grass,7,1,93
Construction Site,6,1,93
Construction Site,7,1,93
Bare Earth Or Grass,8,1,93
Construction Site,1,1,93
Made Surface,8,1,93
,5,1,93
Construction Site,8,1,93
Steps,7,1,93
Steps,1,1,93
Non-Coniferous Trees And Scrub,6,1,93
Scrub,1,1,93
Residential Garden,8,1,93
Steps,8,1,93
,6,1,94
,2,1,94
,4,1,94
,1,1,94
Scrub,2,1,94
Construction Site,4,1,94
Construction Site,2,1,94
Bare Earth Or Grass,2,1,94
Runway,2,1,94
,7,1,94
Made Surface,4,1,94
Bare Earth Or Grass,1,1,94
Runway,1,1,94
Construction Site,1,1,94
Bare Earth Or Grass,4,1,94
Made Surface,2,1,94
Construction Site,7,1,94
Made Surface,6,1,94
Bare Earth Or Grass,6,1,94
Bare Earth Or Grass,7,1,94
Construction Site,6,1,94
Steps,6,1,94
Made Surface,1,1,94
Scrub,4,1,94
Non-Coniferous Trees And Scrub,2,1,94
Scrub,1,1,94
Non-Coniferous Trees And Scrub,4,1,94
Non-Coniferous Trees And Scrub,6,1,94
Scrub,6,1,94
Bare Earth Or Grass,5,1,94
Scrub,5,1,94
Non-Coniferous Trees And Scrub,1,1,94
Marsh,6,1,94
Marsh,4,1,94
Residential Garden,4,1,94
Residential Garden,6,1,94
Residential Garden,2,1,94
Mud,4,1,94
Mud,6,1,94
Arable Or Grazing Land,4,1,94
Arable Or Grazing Land,6,1,94
Arable Or Grazing Land,1,1,94
Sloping Masonry,4,1,94
Heath Or Rough Grassland,4,1,94
Heath Or Rough Grassland,6,1,94
Arable Or Grazing Land,2,1,94
,5,1,94
Marsh,2,1,94
Heath Or Rough Grassland,2,1,94
Residential Garden,1,1,94
Arable Or Grazing Land,5,1,94
Sand Or Shingle,6,1,94
Sand Or Shingle,7,1,94
Boulders Or Rock,6,1,94
Boulders Or Rock,7,1,94
Made Surface,7,1,94
Made Surface,3,1,94
,3,1,94
Bare Earth Or Grass,3,1,94
Steps,3,1,94
Sand Or Shingle,3,1,94
Heath Or Rough Grassland,3,1,94
,6,1,95
,4,1,95
Made Surface,6,1,95
Residential Garden,6,1,95
Bare Earth Or Grass,6,1,95
,1,1,95
,2,1,95
Mixed Trees,6,1,95
Mixed Trees And Scrub,6,1,95
Non-Coniferous Trees,6,1,95
Made Surface,1,1,95
Non-Coniferous Trees,1,1,95
Non-Coniferous Trees And Scrub,6,1,95
Non-Coniferous Trees And Scrub,1,1,95
Mixed Trees And Scrub,1,1,95
Made Surface,4,1,95
Mixed Trees And Scrub,4,1,95
Non-Coniferous Trees And Scrub,4,1,95
Construction Site,6,1,95
Bare Earth Or Grass,4,1,95
Bare Earth Or Grass,1,1,95
Scattered Mixed Trees And Scrub,4,1,95
Scrub,4,1,95
Scrub,1,1,95
Mixed Trees,1,1,95
Scrub,6,1,95
Tennis Court,6,1,95
Steps,6,1,95
Bare Earth Or Grass,2,1,95
Mixed Trees,4,1,95
Non-Coniferous Trees,4,1,95
Non-Coniferous Trees,2,1,95
Made Surface,2,1,95
Residential Garden,1,1,95
Tennis Court,1,1,95
Tennis Court,2,1,95
Tennis Court,4,1,95
Sloping Masonry,6,1,95
Coniferous Trees,2,1,95
Games Court,6,1,95
Steps,1,1,95
,6,1,96
,1,1,96
Residential Garden,6,1,96
Made Surface,6,1,96
Bare Earth Or Grass,6,1,96
Residential Garden,1,1,96
Bare Earth Or Grass,2,1,96
Bare Earth Or Grass,1,1,96
Non-Coniferous Trees And Scrub,1,1,96
Non-Coniferous Trees And Scrub,6,1,96
Mixed Trees And Scrub,6,1,96
Bare Earth Or Grass,4,1,96
Tennis Court,6,1,96
Mixed Trees And Scrub,1,1,96
Scattered Mixed Trees,1,1,96
Made Surface,1,1,96
Scattered Mixed Trees And Scrub,1,1,96
Steps,6,1,96
Steps,1,1,96
Scrub,1,1,96
Residential Garden,2,1,96
Sloping Masonry,6,1,96
Non-Coniferous Trees,1,1,96
Scrub,6,1,96
Scattered Mixed Trees,6,1,96
Scattered Non-Coniferous Trees,1,1,96
Scattered Non-Coniferous Trees,6,1,96
Non-Coniferous Trees,6,1,96
Scattered Coniferous Trees,1,1,96
Scattered Coniferous Trees,6,1,96
Coniferous Trees,1,1,96
,2,1,96
Heath Or Rough Grassland,1,1,96
Heath Or Rough Grassland,6,1,96
Heath Or Rough Grassland,2,1,96
Construction Site,6,1,96
Non-Coniferous Trees And Scrub,2,1,96
Arable Or Grazing Land,2,1,96
,4,1,96
Arable Or Grazing Land,1,1,96
Heath Or Rough Grassland,5,1,96
Made Surface,2,1,96
Mixed Trees,6,1,96
Arable Or Grazing Land,6,1,96
,5,1,96
Arable Or Grazing Land,4,1,96
Mixed Trees,1,1,96
Coniferous Trees,6,1,96
Games Court,2,1,96
Games Court,6,1,96
Made Surface,4,1,96
Scattered Non-Coniferous Trees And Scrub,1,1,96
Marsh,1,1,96
Non-Coniferous Trees And Scrub,4,1,96
Non-Coniferous Trees,4,1,96
Scattered Mixed Trees And Scrub,6,1,96
Tennis Court,1,1,96
Coniferous Trees,4,1,96
Scattered Non-Coniferous Trees And Scrub,6,1,96
Residential Garden,4,1,96
,6,1,97
Residential Garden,6,1,97
Made Surface,6,1,97
Bare Earth Or Grass,6,1,97
Steps,6,1,97
Construction Site,6,1,97
Non-Coniferous Trees And Scrub,6,1,97
,4,1,97
Bare Earth Or Grass,1,1,97
,1,1,97
Bare Earth Or Grass,4,1,97
Non-Coniferous Trees,6,1,97
Non-Coniferous Trees,1,1,97
Non-Coniferous Trees And Scrub,1,1,97
Tennis Court,6,1,97
Made Surface,1,1,97
,2,1,97
Bare Earth Or Grass,2,1,97
Made Surface,2,1,97
Residential Garden,1,1,97
Scrub,6,1,97
,1,1,98
,2,1,98
,6,1,98
Bare Earth Or Grass,1,1,98
Bare Earth Or Grass,2,1,98
Scattered Coniferous Trees,1,1,98
Marsh,1,1,98
Non-Coniferous Trees And Scrub,1,1,98
Scattered Non-Coniferous Trees,1,1,98
Residential Garden,6,1,98
Bare Earth Or Grass,6,1,98
Non-Coniferous Trees,6,1,98
Non-Coniferous Trees,1,1,98
Residential Garden,2,1,98
Arable Or Grazing Land,2,1,98
,5,1,98
Arable Or Grazing Land,6,1,98
Non-Coniferous Trees And Scrub,6,1,98
Residential Garden,1,1,98
Non-Coniferous Trees,4,1,98
Non-Coniferous Trees,2,1,98
Made Surface,1,1,98
Made Surface,6,1,98
Bare Earth Or Grass,4,1,98
Made Surface,4,1,98
,4,1,98
Heath Or Rough Grassland And Scattered Non-Coniferous Trees And Scrub,2,1,98
Arable Or Grazing Land,1,1,98
Mixed Trees,2,1,98
Heath Or Rough Grassland And Scattered Non-Coniferous Trees And Scrub,1,1,98
Coniferous Trees And Scrub,2,1,98
Mixed Trees,1,1,98
Heath Or Rough Grassland And Scattered Non-Coniferous Trees And Scrub,6,1,98
Residential Garden,4,1,98
Mixed Trees,6,1,98
Coniferous Trees And Scrub,6,1,98
Non-Coniferous Trees And Scrub,2,1,98
Mixed Trees And Scrub,1,1,98
Non-Coniferous Trees And Scrub,4,1,98
Arable Or Grazing Land,4,1,98
Steps,6,1,98
Mixed Trees And Scrub,4,1,98
Tennis Court,6,1,98
Construction Site,6,1,98
Heath Or Rough Grassland And Scrub,1,1,98
Heath Or Rough Grassland And Scrub,6,1,98
Heath Or Rough Grassland And Scrub,5,1,98
Heath Or Rough Grassland And Scattered Non-Coniferous Trees And Scrub,4,1,98
Mixed Trees And Scrub,2,1,98
Heath Or Rough Grassland And Scrub,2,1,98
Scattered Non-Coniferous Trees,6,1,98
Made Surface,2,1,98
Made Surface,5,1,98
Bare Earth Or Grass,5,1,98
Heath Or Rough Grassland And Scattered Non-Coniferous Trees And Scrub,5,1,98
Non-Coniferous Trees And Scrub,5,1,98
Heath Or Rough Grassland,1,1,98
Heath Or Rough Grassland,6,1,98
Heath Or Rough Grassland,2,1,98
Scrub,1,1,98
,4,1,99
,2,1,99
,6,1,99
Residential Garden,6,1,99
Made Surface,6,1,99
Bare Earth Or Grass,6,1,99
,1,1,99
Tennis Court,6,1,99
Made Surface,2,1,99
Tennis Court,2,1,99
Tennis Court,4,1,99
Bare Earth Or Grass,2,1,99
Bare Earth Or Grass,4,1,99
Made Surface,4,1,99
Steps,2,1,99
Arable Or Grazing Land,4,1,99
Arable Or Grazing Land,6,1,99
Non-Coniferous Trees And Scrub,6,1,99
Residential Garden,4,1,99
Construction Site,6,1,99
Scattered Non-Coniferous Trees,6,1,99
Non-Coniferous Trees,6,1,99
Steps,6,1,99
Non-Coniferous Trees,2,1,99
