tf_id,bdgi,NA,prop_gi,sum_areas,check,built,description,oslandusetiera,oslandusetierb,capturespecification,planted_by,plant_date,area,class_area,feature,trees,tf_age,elevation
85,289501.649888969,1907431.41617963,0.131775361917161,2196933.0660686,0,0.300694485786296,Bare Earth Or Grass,Sports Attraction Or Facility,[],Rural,"Volunteer Group, Local Residents, Earthwatch

",2020-03-14,207,30,No,"Apple, crab(Malus sylvestris) | Birch, downy(Betula pubescens) | Birch, silver(Betula pendula) | Blackthorn(Prunus spinosa) | Dogwood(Cornus sanguinea) | Elder(Sambucus nigra) | Guelder, rose(Viburnum opulus) | Hazel(Corylus avellana) | Maple, field(Acer campestre) | Oak, english(Quercus robur) | Oak, sessile(Quercus petraea) | Willow, goat(Salix caprea)",1335,82.9494323730469
86,678097.945585766,1154107.67315758,0.37009926104847,1832205.61874334,0,0.416790838032505,Bare Earth Or Grass,Unknown Or Unused Natural,[],Urban,"Volunteer Group, Landscape contractors

",2021-01-28,201,16,No,"Alder(Alnus glutinosa) | Apple, crab(Malus sylvestris) | Birch, silver(Betula pendula) | Blackthorn(Prunus spinosa) | Cherry, bird(Prunus padus) | Cherry, wild(Prunus avium) | Common privet(Ligustrum vulgare) | Dogwood(Cornus sanguinea) | Elder(Sambucus nigra) | Elm, wych(Ulmus glabra) | Guelder, rose(Viburnum opulus) | Hawthorn(Crataegus monogyna) | Hazel(Corylus avellana) | Hornbeam(Carpinus betulus) | Lime, large-leaved(Tilia platyphyllos) | Lime, small-leaved(Tilia cordata) | Maple, field(Acer campestre) | Oak, english(Quercus robur) | Rowan(Sorbus aucuparia) | Spindle(Euonymus europaea) | Wild service tree(Sorbus torminalis)",1015,75.452751159668
87,974783.523254669,262089.347941512,0.788103244848402,1236872.87119618,0,0.606291137145726,Non-Coniferous Trees And Scrub,Unknown Or Unused Natural,[],Urban,"Landscape contractors

",2021-02-04,206,12,No,"Alder(Alnus glutinosa) | Alder buckthorn(Frangula alnus) | Apple, crab(Malus sylvestris) | Birch, silver(Betula pendula) | Blackthorn(Prunus spinosa) | Cherry, wild(Prunus avium) | Dog Rose(Rosa canina) | Elder(Sambucus nigra) | Elm, wych(Ulmus glabra) | Guelder, rose(Viburnum opulus) | Hawthorn(Crataegus monogyna) | Hazel(Corylus avellana) | Hornbeam(Carpinus betulus) | Lime, small-leaved(Tilia cordata) | Oak, english(Quercus robur) | Oak, sessile(Quercus petraea) | Poplar, black(Poplus nigra) | Wild service tree(Sorbus torminalis) | Willow, goat(Salix caprea)",1008,57.6231079101563
88,845655.431794573,202777.233288642,0.806590122530618,1048432.66508321,0,0.666273517705994,Bare Earth Or Grass,Attraction Or Activity,"[""Outdoor Amenity""]",Urban,"Volunteer Group

",2021-02-04,205,23,No,"Alder(Alnus glutinosa) | Apple, crab(Malus sylvestris) | Beech, common(Fagus sylvatica) | Birch, downy(Betula pubescens) | Birch, silver(Betula pendula) | Blackthorn(Prunus spinosa) | Cherry, wild(Prunus avium) | Common privet(Ligustrum vulgare) | Dog Rose(Rosa canina) | Dogwood(Cornus sanguinea) | Elder(Sambucus nigra) | Guelder, rose(Viburnum opulus) | Hawthorn(Crataegus monogyna) | Hazel(Corylus avellana) | Hornbeam(Carpinus betulus) | Lime, large-leaved(Tilia platyphyllos) | Lime, small-leaved(Tilia cordata) | Maple, field(Acer campestre) | Oak, english(Quercus robur) | Spindle(Euonymus europaea) | Wayfaring tree(Viburnum lantana) | Whitebeam(Sorbus aria) | Wild service tree(Sorbus torminalis) | Willow, goat(Salix caprea)",1008,57.5536460876465
89,548564.851284585,399987.971413167,0.578317662609898,948552.822697752,0,0.698066258967765,Bare Earth Or Grass,Unknown Or Unused Natural,[],Urban,"Landscape contractors

",2021-02-19,206,22,Yes,"Alder(Alnus glutinosa) | Apple, crab(Malus sylvestris) | Birch, downy(Betula pubescens) | Birch, silver(Betula pendula) | Broom(Cytisus scoparius) | Cherry, wild(Prunus avium) | Dog Rose(Rosa canina) | Elm, wych(Ulmus glabra) | Gorse(Ulex europaeus) | Hawthorn(Crataegus monogyna) | Hazel(Corylus avellana) | Heather(Calluna vulgaris) | Holly(Ilex aquifolium) | Lime, small-leaved(Tilia cordata) | Oak, sessile(Quercus petraea) | Pine, scots(Pinus sylvestris)",993,92.8093185424805
91,2400143.94078963,1996358.60855045,0.545921198464879,1739871.780992,0,0.446181611418048,Bare Earth Or Grass,Unknown Or Unused Natural,[],Urban,"School Children

",2021-02-26,205,18,No,"Alder buckthorn(Frangula alnus) | Apple, crab(Malus sylvestris) | Beech, common(Fagus sylvatica) | Birch, downy(Betula pubescens) | Birch, silver(Betula pendula) | Blackthorn(Prunus spinosa) | Cherry, wild(Prunus avium) | Dog Rose(Rosa canina) | Elm, wych(Ulmus glabra) | Guelder, rose(Viburnum opulus) | Hawthorn(Crataegus monogyna) | Hazel(Corylus avellana) | Heather(Calluna vulgaris) | Holly(Ilex aquifolium) | Hornbeam(Carpinus betulus) | Lime, large-leaved(Tilia platyphyllos) | Lime, small-leaved(Tilia cordata) | Oak, english(Quercus robur) | Oak, sessile(Quercus petraea) | Wild service tree(Sorbus torminalis)",986,79.6259918212891
92,1034748.31845554,190834.166430645,0.84429104627065,1225582.48488618,0,0.609884978727032,Bare Earth Or Grass,Attraction Or Activity,"[""Outdoor Amenity""]",Urban,"Landscape contractors

",2021-03-02,205,18,No,"Alder(Alnus glutinosa) | Apple, crab(Malus sylvestris) | Birch, downy(Betula pubescens) | Birch, silver(Betula pendula) | Blackthorn(Prunus spinosa) | Broom(Cytisus scoparius) | Cherry, bird(Prunus padus) | Dogwood(Cornus sanguinea) | Guelder, rose(Viburnum opulus) | Hawthorn(Crataegus monogyna) | Hazel(Corylus avellana) | Heather(Calluna vulgaris) | Hornbeam(Carpinus betulus) | Lime, large-leaved(Tilia platyphyllos) | Lime, small-leaved(Tilia cordata) | Oak, english(Quercus robur) | Oak, sessile(Quercus petraea) | Rowan(Sorbus aucuparia) | Wild service tree(Sorbus torminalis) | Willow, goat(Salix caprea) | Willow, grey(Salix cinerea subsp. Oleifolia)",982,108.014450073242
93,169014.390448751,84633.5579527993,0.666334545632453,253647.94840155,0,0.91926135041355,Made Surface,Unknown Or Unused Artificial,[],Urban,"Corporate Employees

",2021-03-08,200,21,No,"Apple, crab(Malus sylvestris) | Beech, common(Fagus sylvatica) | Birch, silver(Betula pendula) | Blackthorn(Prunus spinosa) | Broom(Cytisus scoparius) | Cherry, wild(Prunus avium) | Dog Rose(Rosa canina) | Gorse(Ulex europaeus) | Hawthorn(Crataegus monogyna) | Hazel(Corylus avellana) | Holly(Ilex aquifolium) | Hornbeam(Carpinus betulus) | Lime, small-leaved(Tilia cordata) | Maple, field(Acer campestre) | Oak, sessile(Quercus petraea) | Rowan(Sorbus aucuparia) | Wild service tree(Sorbus torminalis)",976,8.06959533691406
94,177201.549036427,290072.097709078,0.37922435872558,467273.646745505,0,0.851262178687754,Bare Earth Or Grass,Sports Attraction Or Facility,[],Urban,"Landscape contractors

",2021-03-11,205,28,No,"Alder(Alnus glutinosa) | Birch, silver(Betula pendula) | Blackthorn(Prunus spinosa) | Dog Rose(Rosa canina) | Dogwood(Cornus sanguinea) | Gorse(Ulex europaeus) | Guelder, rose(Viburnum opulus) | Hawthorn(Crataegus monogyna) | Hazel(Corylus avellana) | Holly(Ilex aquifolium) | Hornbeam(Carpinus betulus) | Lime, small-leaved(Tilia cordata) | Oak, english(Quercus robur) | Oak, sessile(Quercus petraea) | Rowan(Sorbus aucuparia) | Wild service tree(Sorbus torminalis) | Willow, grey(Salix cinerea subsp. Oleifolia)",973,2.54354214668274
95,1301708.59226859,459545.061463293,0.739080705104815,1761253.65373189,0,0.439375549939817,Bare Earth Or Grass,Sports Attraction Or Facility,[],Urban,"School Children, Landscape contractors

",2021-03-10,205,18,No,"Beech, common(Fagus sylvatica) | Birch, downy(Betula pubescens) | Birch, silver(Betula pendula) | Blackthorn(Prunus spinosa) | Cherry, wild(Prunus avium) | Dog Rose(Rosa canina) | Elm, wych(Ulmus glabra) | Guelder, rose(Viburnum opulus) | Hawthorn(Crataegus monogyna) | Hazel(Corylus avellana) | Heather(Calluna vulgaris) | Hornbeam(Carpinus betulus) | Lime, large-leaved(Tilia platyphyllos) | Lime, small-leaved(Tilia cordata) | Oak, english(Quercus robur) | Oak, sessile(Quercus petraea) | Rowan(Sorbus aucuparia) | Wild service tree(Sorbus torminalis)",974,127.668434143066
