tf_id,sites,richness
85,5,219
86,7,237
87,6,1062
88,6,595
89,8,423
91,4,300
92,4,70
93,2,90
94,8,207
95,6,94
96,7,258
97,2,86
98,9,583
99,6,155
100,5,74
132,7,458
133,7,353
134,6,218
135,4,185
136,6,495
137,5,313
138,4,20
139,3,57
140,5,196
141,8,317
142,4,657
143,5,85
144,4,155
145,6,219
146,4,116
147,4,168
148,6,167
149,7,402
150,5,488
151,5,149
153,5,327
154,5,258
155,6,385
156,4,77
161,8,122
164,9,583
165,5,118
167,6,370
168,4,63
170,4,13
171,4,29
172,4,93
174,5,85
175,6,73
176,5,206
177,5,115
179,4,61
180,7,94
181,7,159
182,6,130
183,4,44
184,2,36
185,4,91
186,5,135
187,3,81
188,5,89
189,6,70
190,5,61
191,2,60
192,4,143
194,5,31
195,7,187
196,2,40
197,3,68
198,2,139
199,3,49
202,6,236
203,5,119
204,4,228
205,1,36
206,5,83
207,4,96
208,6,147
209,5,288
210,7,235
211,1,55
212,3,112
214,7,382
215,7,461
216,5,415
217,5,119
218,5,107
219,4,295
220,5,114
221,2,87
222,3,36
224,3,37
225,7,197
226,5,141
227,5,293
228,7,861
229,4,297
230,6,275
232,3,92
233,5,200
234,4,102
235,6,343
236,6,111
237,5,85
238,6,107
239,4,142
242,3,38
243,3,72
244,5,313
245,6,160
246,3,11
247,4,235
248,5,138
249,3,46
250,6,897
252,4,224
253,5,412
254,6,207
255,5,158
256,6,640
257,4,274
258,8,955
259,7,145
260,4,89
261,8,603
263,5,132
264,5,43
265,6,170
268,4,120
269,6,128
270,6,264
272,4,90
274,4,63
276,4,211
277,5,319
278,4,93
279,5,291
280,5,420
281,7,279
282,5,170
283,5,76
287,5,523
288,6,244
289,5,216
290,7,309
292,4,25
300,3,150
301,4,47
303,6,130
304,8,182
305,5,76
307,4,66
308,4,177
309,5,139
313,2,187
315,4,40
316,5,192
318,7,354
319,4,63
320,4,300
321,5,172
323,4,135
324,3,541
326,6,167
327,4,63
329,5,187
330,6,456
331,3,341
333,5,419
334,4,364
335,4,566
336,4,280
337,4,575
338,4,353
339,4,114
342,3,81
343,3,104
344,5,153
345,4,39
346,5,66
347,3,6
348,5,42
349,7,549
352,6,152
353,6,141
355,5,817
356,5,158
357,6,230
359,4,88
363,7,663
364,4,140
365,2,276
368,5,157
374,6,234
375,6,217
376,4,351
378,4,294
379,4,236
385,3,128
386,3,128
387,3,128
388,4,172
389,5,160
390,3,9
391,3,9
392,4,84
393,4,84
394,9,871
395,3,121
