tf_id,lat,lon,planted_by,plant_date,area,class_area,feature,trees,tf_age
85,51.777888999999995,-1.4691389999999998,"Volunteer Group, Local Residents, Earthwatch

",2020-03-14,207,30,No,"Apple, crab(Malus sylvestris) | Birch, downy(Betula pubescens) | Birch, silver(Betula pendula) | Blackthorn(Prunus spinosa) | Dogwood(Cornus sanguinea) | Elder(Sambucus nigra) | Guelder, rose(Viburnum opulus) | Hazel(Corylus avellana) | Maple, field(Acer campestre) | Oak, english(Quercus robur) | Oak, sessile(Quercus petraea) | Willow, goat(Salix caprea)",1330
86,51.76913900000001,-1.2154719999999999,"Volunteer Group, Landscape contractors

",2021-01-28,201,16,No,"Alder(Alnus glutinosa) | Apple, crab(Malus sylvestris) | Birch, silver(Betula pendula) | Blackthorn(Prunus spinosa) | Cherry, bird(Prunus padus) | Cherry, wild(Prunus avium) | Common privet(Ligustrum vulgare) | Dogwood(Cornus sanguinea) | Elder(Sambucus nigra) | Elm, wych(Ulmus glabra) | Guelder, rose(Viburnum opulus) | Hawthorn(Crataegus monogyna) | Hazel(Corylus avellana) | Hornbeam(Carpinus betulus) | Lime, large-leaved(Tilia platyphyllos) | Lime, small-leaved(Tilia cordata) | Maple, field(Acer campestre) | Oak, english(Quercus robur) | Rowan(Sorbus aucuparia) | Spindle(Euonymus europaea) | Wild service tree(Sorbus torminalis)",1010
87,51.734778000000006,-1.2398609999999997,"Landscape contractors

",2021-02-04,206,12,No,"Alder(Alnus glutinosa) | Alder buckthorn(Frangula alnus) | Apple, crab(Malus sylvestris) | Birch, silver(Betula pendula) | Blackthorn(Prunus spinosa) | Cherry, wild(Prunus avium) | Dog Rose(Rosa canina) | Elder(Sambucus nigra) | Elm, wych(Ulmus glabra) | Guelder, rose(Viburnum opulus) | Hawthorn(Crataegus monogyna) | Hazel(Corylus avellana) | Hornbeam(Carpinus betulus) | Lime, small-leaved(Tilia cordata) | Oak, english(Quercus robur) | Oak, sessile(Quercus petraea) | Poplar, black(Poplus nigra) | Wild service tree(Sorbus torminalis) | Willow, goat(Salix caprea)",1003
88,51.500278,-2.6003330000000004,"Volunteer Group

",2021-02-04,205,23,No,"Alder(Alnus glutinosa) | Apple, crab(Malus sylvestris) | Beech, common(Fagus sylvatica) | Birch, downy(Betula pubescens) | Birch, silver(Betula pendula) | Blackthorn(Prunus spinosa) | Cherry, wild(Prunus avium) | Common privet(Ligustrum vulgare) | Dog Rose(Rosa canina) | Dogwood(Cornus sanguinea) | Elder(Sambucus nigra) | Guelder, rose(Viburnum opulus) | Hawthorn(Crataegus monogyna) | Hazel(Corylus avellana) | Hornbeam(Carpinus betulus) | Lime, large-leaved(Tilia platyphyllos) | Lime, small-leaved(Tilia cordata) | Maple, field(Acer campestre) | Oak, english(Quercus robur) | Spindle(Euonymus europaea) | Wayfaring tree(Viburnum lantana) | Whitebeam(Sorbus aria) | Wild service tree(Sorbus torminalis) | Willow, goat(Salix caprea)",1003
89,55.87525,-4.160222,"Landscape contractors

",2021-02-19,206,22,Yes,"Alder(Alnus glutinosa) | Apple, crab(Malus sylvestris) | Birch, downy(Betula pubescens) | Birch, silver(Betula pendula) | Broom(Cytisus scoparius) | Cherry, wild(Prunus avium) | Dog Rose(Rosa canina) | Elm, wych(Ulmus glabra) | Gorse(Ulex europaeus) | Hawthorn(Crataegus monogyna) | Hazel(Corylus avellana) | Heather(Calluna vulgaris) | Holly(Ilex aquifolium) | Lime, small-leaved(Tilia cordata) | Oak, sessile(Quercus petraea) | Pine, scots(Pinus sylvestris)",988
90,49.193417000000004,-2.091139,"School Children

",2021-02-22,200,16,No,"Apple, crab(Malus sylvestris) | Ash(Fraxinus excelsior) | Blackthorn(Prunus spinosa) | Cherry Plum(Prunus cerasifera) | Cherry, bird(Prunus padus) | Cherry, wild(Prunus avium) | Dog Rose(Rosa canina) | Elder(Sambucus nigra) | Hawthorn(Crataegus monogyna) | Hazel(Corylus avellana) | Holly(Ilex aquifolium) | Medlar(Mespilus germanica) | Oak, english(Quercus robur) | Sweet chestnut(Castanea sativa) | Wild Pear(Pyrus communis)",985
91,52.63213900000001,-1.174139,"School Children

",2021-02-26,205,18,No,"Alder buckthorn(Frangula alnus) | Apple, crab(Malus sylvestris) | Beech, common(Fagus sylvatica) | Birch, downy(Betula pubescens) | Birch, silver(Betula pendula) | Blackthorn(Prunus spinosa) | Cherry, wild(Prunus avium) | Dog Rose(Rosa canina) | Elm, wych(Ulmus glabra) | Guelder, rose(Viburnum opulus) | Hawthorn(Crataegus monogyna) | Hazel(Corylus avellana) | Heather(Calluna vulgaris) | Holly(Ilex aquifolium) | Hornbeam(Carpinus betulus) | Lime, large-leaved(Tilia platyphyllos) | Lime, small-leaved(Tilia cordata) | Oak, english(Quercus robur) | Oak, sessile(Quercus petraea) | Wild service tree(Sorbus torminalis)",981
92,52.535444,-1.8611389999999999,"Landscape contractors

",2021-03-02,205,18,No,"Alder(Alnus glutinosa) | Apple, crab(Malus sylvestris) | Birch, downy(Betula pubescens) | Birch, silver(Betula pendula) | Blackthorn(Prunus spinosa) | Broom(Cytisus scoparius) | Cherry, bird(Prunus padus) | Dogwood(Cornus sanguinea) | Guelder, rose(Viburnum opulus) | Hawthorn(Crataegus monogyna) | Hazel(Corylus avellana) | Heather(Calluna vulgaris) | Hornbeam(Carpinus betulus) | Lime, large-leaved(Tilia platyphyllos) | Lime, small-leaved(Tilia cordata) | Oak, english(Quercus robur) | Oak, sessile(Quercus petraea) | Rowan(Sorbus aucuparia) | Wild service tree(Sorbus torminalis) | Willow, goat(Salix caprea) | Willow, grey(Salix cinerea subsp. Oleifolia)",977
93,51.511027999999996,-0.227833,"Corporate Employees

",2021-03-08,200,21,No,"Apple, crab(Malus sylvestris) | Beech, common(Fagus sylvatica) | Birch, silver(Betula pendula) | Blackthorn(Prunus spinosa) | Broom(Cytisus scoparius) | Cherry, wild(Prunus avium) | Dog Rose(Rosa canina) | Gorse(Ulex europaeus) | Hawthorn(Crataegus monogyna) | Hazel(Corylus avellana) | Holly(Ilex aquifolium) | Hornbeam(Carpinus betulus) | Lime, small-leaved(Tilia cordata) | Maple, field(Acer campestre) | Oak, sessile(Quercus petraea) | Rowan(Sorbus aucuparia) | Wild service tree(Sorbus torminalis)",971
94,50.828,-0.298167,"Landscape contractors

",2021-03-11,205,28,No,"Alder(Alnus glutinosa) | Birch, silver(Betula pendula) | Blackthorn(Prunus spinosa) | Dog Rose(Rosa canina) | Dogwood(Cornus sanguinea) | Gorse(Ulex europaeus) | Guelder, rose(Viburnum opulus) | Hawthorn(Crataegus monogyna) | Hazel(Corylus avellana) | Holly(Ilex aquifolium) | Hornbeam(Carpinus betulus) | Lime, small-leaved(Tilia cordata) | Oak, english(Quercus robur) | Oak, sessile(Quercus petraea) | Rowan(Sorbus aucuparia) | Wild service tree(Sorbus torminalis) | Willow, grey(Salix cinerea subsp. Oleifolia)",968
95,52.582056,-2.1461940000000004,"School Children, Landscape contractors

",2021-03-10,205,18,No,"Beech, common(Fagus sylvatica) | Birch, downy(Betula pubescens) | Birch, silver(Betula pendula) | Blackthorn(Prunus spinosa) | Cherry, wild(Prunus avium) | Dog Rose(Rosa canina) | Elm, wych(Ulmus glabra) | Guelder, rose(Viburnum opulus) | Hawthorn(Crataegus monogyna) | Hazel(Corylus avellana) | Heather(Calluna vulgaris) | Hornbeam(Carpinus betulus) | Lime, large-leaved(Tilia platyphyllos) | Lime, small-leaved(Tilia cordata) | Oak, english(Quercus robur) | Oak, sessile(Quercus petraea) | Rowan(Sorbus aucuparia) | Wild service tree(Sorbus torminalis)",969
96,51.542778000000006,-1.7863609999999999,"Landscape contractors

",2021-03-11,205,NA,No,"Alder(Alnus glutinosa) | Apple, crab(Malus sylvestris) | Birch, silver(Betula pendula) | Blackthorn(Prunus spinosa) | Dog Rose(Rosa canina) | Dogwood(Cornus sanguinea) | Elm, wych(Ulmus glabra) | Guelder, rose(Viburnum opulus) | Hawthorn(Crataegus monogyna) | Hazel(Corylus avellana) | Hornbeam(Carpinus betulus) | Lime, small-leaved(Tilia cordata) | Oak, english(Quercus robur) | Wild service tree(Sorbus torminalis) | Willow, goat(Salix caprea) | Willow, grey(Salix cinerea subsp. Oleifolia)",968
