tf_id,dscrptn,n,s_area
85,Residential Garden,1838,222121.679311291
85,Arable Or Grazing Land,68,1559067.77176575
85,Bare Earth Or Grass,406,260151.687856967
85,Made Surface,200,91331.01376478
85,Heath Or Rough Grassland,1,13575.0813267546
85,Non-Coniferous Trees,30,56068.5088658323
85,Heath Or Rough Grassland And Scrub,2,6821.74969912452
85,Scrub,2,2342.4327861953
85,Mixed Trees And Scrub,3,16541.6758321713
85,Non-Coniferous Trees And Scrub,20,49455.1785938422
85,Quarry,2,230876.686877081
85,Coniferous Trees,1,4815.00453888004
85,Mixed Trees,6,35179.228449072
85,Sloping Masonry,1,9.64909179968686
86,,3650,1968544.4917502
87,Residential Garden,5813,689980.572769917
87,Made Surface,437,157455.333696517
87,Bare Earth Or Grass,712,1010875.89730399
87,Non-Coniferous Trees And Scrub,55,320724.157236114
87,Arable Or Grazing Land,4,27015.2894806121
87,Scattered Non-Coniferous Trees,14,30363.558665772
87,Scattered Coniferous Trees,2,106.913885850889
87,Construction Site,2,16198.0598669995
87,Scattered Non-Coniferous Trees And Scrub,2,4542.53757375512
87,Non-Coniferous Trees,21,29262.6924755652
87,Mixed Trees,3,8667.77878013935
87,Slipway,3,299.389400155264
87,Heath Or Rough Grassland And Scrub,1,25235.9884374294
87,Scattered Mixed Trees,2,4771.77200449805
87,Scattered Mixed Trees And Scrub,1,629.432066613315
87,Steps,3,15.4174954959362
87,Scrub,2,1683.20966134419
87,Orchard,1,2838.88429691536
87,Heath Or Rough Grassland,1,20178.2113778697
87,Heath Or Rough Grassland And Scattered Non-Coniferous Trees,1,1885.29491495133
88,Residential Garden,6056,732726.139667927
88,Bare Earth Or Grass,696,269711.43250442
88,Made Surface,455,113078.014515858
88,Non-Coniferous Trees,4,7334.3538143752
88,Non-Coniferous Trees And Scrub,43,100042.174005123
88,Construction Site,16,16600.9163619419
88,Games Court,3,2779.6100710648
88,Scattered Mixed Trees,1,690.678699124097
88,Steps,13,61.9226601544103
88,Scattered Non-Coniferous Trees,6,26559.2993055426
88,Scrub,1,133.957569712607
88,Tennis Court,2,2831.10352526776
88,Helipad,1,621.931038339702
88,Scattered Non-Coniferous Trees And Scrub,1,1583.45428640588
88,Mixed Trees And Scrub,3,9808.32052737351
88,Sloping Masonry,1,3.21468445255376
88,Heath Or Rough Grassland And Scrub,1,3189.2846331658
88,Mixed Trees,1,1839.88254843051
89,Residential Garden,4336,325341.399974795
89,Bare Earth Or Grass,656,797868.445289638
89,Made Surface,419,131534.216037569
89,Marsh,1,9328.24366563337
89,Coniferous Trees,9,17139.8702459333
89,Heath Or Rough Grassland,24,87887.4131662005
89,Non-Coniferous Trees,40,333213.618249209
89,Steps,93,844.913781734566
89,Non-Coniferous Trees And Scrub,34,243178.941158163
89,Sloping Masonry,6,952.512509222085
89,Heath Or Rough Grassland And Scrub,10,88145.2592824733
89,Scrub,4,8323.2310055896
89,Scattered Non-Coniferous Trees,4,7882.25534310685
89,Construction Site,1,880.682525293319
89,Mixed Trees,2,7200.41266204616
89,Games Court,3,2468.97007205067
89,Heath Or Rough Grassland And Scattered Non-Coniferous Trees And Scrub,1,3090.98243563757
89,Scattered Non-Coniferous Trees And Scrub,1,7749.56107244485
91,Residential Garden,12916,1757350.83115353
91,Bare Earth Or Grass,1185,1974521.34939246
91,Steps,35,245.05259677003
91,Non-Coniferous Trees,73,424654.844287139
91,Made Surface,668,256274.524555126
91,Coniferous Trees,4,622.536932872027
91,Scattered Coniferous Trees,18,6135.13822047163
91,Tennis Court,15,16730.6824731481
91,Scattered Non-Coniferous Trees,59,77779.0251171714
91,Mixed Trees And Scrub,20,38839.0933109407
91,Construction Site,3,268.200162710827
91,Non-Coniferous Trees And Scrub,35,123197.122122041
91,Mixed Trees,6,17364.3315669402
91,Scattered Mixed Trees,2,672.720859424918
91,Scrub,10,5066.15072411427
91,Coniferous Trees And Scrub,6,1656.46050121672
91,Sloping Masonry,3,377.205892607034
91,Games Court,2,1364.89883107621
91,Scattered Non-Coniferous Trees And Scrub,1,592.000843084899
92,Made Surface,363,107879.776345694
92,Residential Garden,8362,971453.996959024
92,Bare Earth Or Grass,512,393962.975965657
92,Steps,18,67.7073251030322
92,Games Court,1,467.973265100957
92,Non-Coniferous Trees,17,30528.3196729772
92,Non-Coniferous Trees And Scrub,12,51895.0792888169
92,Scattered Non-Coniferous Trees,2,10885.2812738857
92,Heath Or Rough Grassland,1,9982.42155355444
92,Scrub,5,18534.4608870995
92,Construction Site,1,779.927998758468
92,Sloping Masonry,1,98.1366772510773
92,Mixed Trees,3,11630.1779002219
92,Coniferous Trees,1,2054.36413706773
93,Residential Garden,3745,167416.913799121
93,Bare Earth Or Grass,409,108872.508714526
93,Made Surface,459,101719.115702816
93,Construction Site,16,66051.0985429765
93,Games Court,18,14249.1425416063
93,Steps,37,592.526824515706
93,Non-Coniferous Trees,3,488.914411652486
93,Scrub,1,11.9197740725227
93,Non-Coniferous Trees And Scrub,1,992.228037916841
94,Residential Garden,1151,170826.471655519
94,Bare Earth Or Grass,308,666687.212101703
94,Made Surface,272,132611.002796974
94,Sand Or Shingle,38,167614.938792405
94,Arable Or Grazing Land,20,61694.9875399571
94,Construction Site,4,172570.757071505
94,Boulders Or Rock,13,4475.04715749463
94,Steps,14,141.658862818137
94,Scrub,6,73268.4271385078
94,Mud,5,6463.82588871871
94,Runway,2,30119.3294028575
94,Non-Coniferous Trees And Scrub,4,9492.5076141893
94,Heath Or Rough Grassland,3,6872.78153240085
94,Marsh,2,1901.8746428718
94,Sloping Masonry,2,150.792785016739
94,Mud And Sand Or Shingle,1,2398.21715256351
95,Residential Garden,6917,834218.254180754
95,Bare Earth Or Grass,846,527288.659514845
95,Made Surface,825,288296.473117746
95,Mixed Trees And Scrub,19,16022.0020176897
95,Non-Coniferous Trees,23,37563.7708831061
95,Non-Coniferous Trees And Scrub,26,37645.1828597492
95,Steps,44,260.332253331486
95,Mixed Trees,6,5484.12557854384
95,Tennis Court,3,11731.7995177589
95,Scattered Mixed Trees And Scrub,2,1392.52946638538
95,Construction Site,2,5555.61736227416
95,Scrub,1,361.105793286959
95,Sloping Masonry,2,586.461283043662
95,Coniferous Trees,1,684.613673174287
95,Games Court,1,496.493882112072
96,Residential Garden,2620,388275.867508339
96,Made Surface,272,154083.905559546
96,Bare Earth Or Grass,502,394877.331676729
96,Non-Coniferous Trees,23,59108.4023104568
96,Steps,21,388.311366916461
96,Construction Site,9,5171.35292285128
96,Scattered Mixed Trees,5,18383.0978031479
96,Non-Coniferous Trees And Scrub,40,107784.55244231
96,Heath Or Rough Grassland,6,132523.872213656
96,Scrub,6,11752.7715927503
